rank,rank_change,title,artist,album,img_url
39,0,청바지,부석순(SEVENTEEN),부석순 2nd Single Album 'TELEPARTY',https://image.bugsm.co.kr/album/images/50/41129/4112974.jpg?version=20250109012628.0
40,0,Love wins all,아이유(IU),The Winning,https://image.bugsm.co.kr/album/images/50/40955/4095501.jpg?version=20240307012526.0
41,0,에피소드,이무진,에피소드,https://image.bugsm.co.kr/album/images/50/40941/4094127.jpg?version=20250101001125.0
42,0,To. X,태연 (TAEYEON),To. X - The 5th Mini Album,https://image.bugsm.co.kr/album/images/50/40935/4093522.jpg?version=20240307015748.0
43,0,청춘만화,이무진,만화 (滿花),https://image.bugsm.co.kr/album/images/50/41081/4108180.jpg?version=20250101001159.0
44,0,Supersonic,프로미스나인,Supersonic,https://image.bugsm.co.kr/album/images/50/41053/4105386.jpg?version=20240813025628.0
45,0,우리의 다정한 계절 속에 (Season of Memories),여자친구(GFRIEND),Season of Memories,https://image.bugsm.co.kr/album/images/50/41125/4112552.jpg?version=20250120000005.0
46,0,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',https://image.bugsm.co.kr/album/images/50/40780/4078016.jpg?version=20221014011218.0
47,0,Small girl (feat. 도경수(D.O.)),이영지,16 Fantasy,https://image.bugsm.co.kr/album/images/50/41029/4102930.jpg?version=20250107032752.0
48,0,Sticky,KISS OF LIFE,Sticky,https://image.bugsm.co.kr/album/images/50/41032/4103276.jpg?version=20240702024856.0
49,0,Congratulations,DAY6 (데이식스),The Day,https://image.bugsm.co.kr/album/images/50/5297/529710.jpg?version=20190719114948.0
50,0,ETA,NewJeans,NewJeans 2nd EP 'Get Up',https://image.bugsm.co.kr/album/images/50/40885/4088574.jpg?version=20231220032138.0
51,0,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤),항해,https://image.bugsm.co.kr/album/images/50/202788/20278851.jpg?version=20210727012601.0
52,0,Bubble Gum,NewJeans,How Sweet,https://image.bugsm.co.kr/album/images/50/41006/4100628.jpg?version=20250107004601.0
53,0,슬픈 초대장,순순희 (지환),슬픈 초대장,https://image.bugsm.co.kr/album/images/50/40943/4094328.jpg?version=20250101001126.0
54,0,After LIKE,IVE (아이브),After LIKE,https://image.bugsm.co.kr/album/images/50/40789/4078936.jpg?version=20220824005434.0
55,0,해야 (HEYA),IVE (아이브),IVE SWITCH,https://image.bugsm.co.kr/album/images/50/41006/4100623.jpg?version=20250107011729.0
56,0,"무제(無題) (Untitled, 2014)",G-DRAGON,권지용,https://image.bugsm.co.kr/album/images/50/201018/20101856.jpg?version=20250107024850.0
57,0,숲,최유리,유영,https://image.bugsm.co.kr/album/images/50/40790/4079006.jpg?version=20230912015742.0
58,0,drinks or coffee,로제(ROSÉ),rosie,https://image.bugsm.co.kr/album/images/50/41113/4111311.jpg?version=20241210002920.0
59,0,밤양갱,비비(BIBI),밤양갱,https://image.bugsm.co.kr/album/images/50/40961/4096123.jpg?version=20240301015403.0
60,0,Love me or Leave me,DAY6 (데이식스),The Book of Us : The Demon,https://image.bugsm.co.kr/album/images/50/203237/20323788.jpg?version=20241114011724.0
61,0,Attention,NewJeans,NewJeans 1st EP 'New Jeans',https://image.bugsm.co.kr/album/images/50/40780/4078016.jpg?version=20221014011218.0
62,0,클락션 (Klaxon),(여자)아이들,I SWAY,https://image.bugsm.co.kr/album/images/50/41041/4104119.jpg?version=20240718005913.0
63,0,Cherish (My Love),아일릿(ILLIT),I’LL LIKE YOU,https://image.bugsm.co.kr/album/images/50/206785/20678516.jpg?version=20241121014005.0
